supplier,sku,location,lead_time_days,promised_days,received_date
SMP-SUP-A,SMP-500,SMP-DC-N,11,12,2026-08-08
SMP-SUP-A,SMP-500,SMP-DC-N,15,12,2026-07-11
SMP-SUP-A,SMP-500,SMP-DC-N,10,12,2026-06-25
SMP-SUP-A,SMP-500,SMP-DC-N,13,12,2026-04-30
SMP-SUP-A,SMP-500,SMP-DC-N,12,12,2026-06-30
SMP-SUP-A,SMP-500,SMP-DC-N,13,12,2026-07-24
SMP-SUP-A,SMP-500,SMP-DC-N,12,12,2026-06-12
SMP-SUP-A,SMP-500,SMP-DC-N,12,12,2026-08-27
SMP-SUP-A,SMP-500,SMP-DC-S,8,12,2026-07-28
SMP-SUP-A,SMP-500,SMP-DC-S,13,12,2026-07-16
SMP-SUP-A,SMP-500,SMP-DC-S,12,12,2026-07-12
SMP-SUP-A,SMP-500,SMP-DC-S,12,12,2026-08-26
SMP-SUP-A,SMP-500,SMP-DC-S,14,12,2026-06-09
SMP-SUP-A,SMP-500,SMP-DC-S,15,12,2026-09-12
SMP-SUP-A,SMP-500,SMP-DC-S,11,12,2026-08-27
SMP-SUP-A,SMP-500,SMP-DC-S,16,12,2026-04-21
SMP-SUP-A,SMP-500,SMP-DC-S,18,12,2026-08-09
SMP-SUP-A,SMP-500,SMP-DC-S,10,12,2026-04-02
