sku,location,period_start,qty
SMP-400,SMP-DC-S,2026-05-18,461
SMP-400,SMP-DC-S,2026-05-25,258
SMP-400,SMP-DC-S,2026-06-01,337
SMP-400,SMP-DC-S,2026-06-08,241
SMP-400,SMP-DC-S,2026-06-15,402
SMP-400,SMP-DC-S,2026-06-22,471
SMP-400,SMP-DC-S,2026-06-29,262
SMP-400,SMP-DC-S,2026-07-06,468
SMP-400,SMP-DC-S,2026-07-13,420
SMP-400,SMP-DC-S,2026-07-20,322
SMP-400,SMP-DC-S,2026-07-27,171
SMP-400,SMP-DC-S,2026-08-03,456
SMP-400,SMP-DC-S,2026-08-10,329
SMP-400,SMP-DC-S,2026-08-17,286
SMP-400,SMP-DC-S,2026-08-24,371
SMP-400,SMP-DC-S,2026-08-31,372
SMP-400,SMP-DC-S,2026-09-07,463
SMP-400,SMP-DC-S,2026-09-14,251
SMP-500,SMP-DC-N,2026-03-23,114
SMP-500,SMP-DC-N,2026-03-30,121
SMP-500,SMP-DC-N,2026-04-06,65
SMP-500,SMP-DC-N,2026-04-13,169
SMP-500,SMP-DC-N,2026-04-20,181
SMP-500,SMP-DC-N,2026-04-27,194
SMP-500,SMP-DC-N,2026-05-04,222
SMP-500,SMP-DC-N,2026-05-11,163
SMP-500,SMP-DC-N,2026-05-18,151
SMP-500,SMP-DC-N,2026-05-25,136
SMP-500,SMP-DC-N,2026-06-01,154
SMP-500,SMP-DC-N,2026-06-08,133
SMP-500,SMP-DC-N,2026-06-15,179
SMP-500,SMP-DC-N,2026-06-22,152
SMP-500,SMP-DC-N,2026-06-29,160
SMP-500,SMP-DC-N,2026-07-06,147
SMP-500,SMP-DC-N,2026-07-13,165
SMP-500,SMP-DC-N,2026-07-20,198
SMP-500,SMP-DC-N,2026-07-27,157
SMP-500,SMP-DC-N,2026-08-03,120
SMP-500,SMP-DC-N,2026-08-10,84
SMP-500,SMP-DC-N,2026-08-17,134
SMP-500,SMP-DC-N,2026-08-24,213
SMP-500,SMP-DC-N,2026-08-31,178
SMP-500,SMP-DC-N,2026-09-07,199
SMP-500,SMP-DC-N,2026-09-14,120
SMP-500,SMP-DC-S,2026-03-23,172
SMP-500,SMP-DC-S,2026-03-30,111
SMP-500,SMP-DC-S,2026-04-06,191
SMP-500,SMP-DC-S,2026-04-13,84
SMP-500,SMP-DC-S,2026-04-20,169
SMP-500,SMP-DC-S,2026-04-27,170
SMP-500,SMP-DC-S,2026-05-04,76
SMP-500,SMP-DC-S,2026-05-11,149
SMP-500,SMP-DC-S,2026-05-18,163
SMP-500,SMP-DC-S,2026-05-25,102
SMP-500,SMP-DC-S,2026-06-01,158
SMP-500,SMP-DC-S,2026-06-08,132
SMP-500,SMP-DC-S,2026-06-15,188
SMP-500,SMP-DC-S,2026-06-22,196
SMP-500,SMP-DC-S,2026-06-29,164
SMP-500,SMP-DC-S,2026-07-06,163
SMP-500,SMP-DC-S,2026-07-13,134
SMP-500,SMP-DC-S,2026-07-20,111
SMP-500,SMP-DC-S,2026-07-27,88
SMP-500,SMP-DC-S,2026-08-03,161
SMP-500,SMP-DC-S,2026-08-10,164
SMP-500,SMP-DC-S,2026-08-17,145
SMP-500,SMP-DC-S,2026-08-24,158
SMP-500,SMP-DC-S,2026-08-31,165
SMP-500,SMP-DC-S,2026-09-07,189
SMP-500,SMP-DC-S,2026-09-14,178
